AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,No Load Supply Air Flow Rate,no_load_supply_air_flow_rate
AirLoopHVAC:UnitaryHeatPump:WaterToAir,Maximum Supply Air Temperature from Supplemental Heater,maximum_supply_air_temperature_from_supplemental_heater
AirLoopHVAC:UnitaryHeatPump:WaterToAir,Supply Air Flow Rate,supply_air_flow_rate
AirLoopHVAC:UnitarySystem,Design Size Cooling Supply Air Flow Rate,cooling_supply_air_flow_rate
AirLoopHVAC:UnitarySystem,Design Size Heating Supply Air Flow Rate,heating_supply_air_flow_rate
AirLoopHVAC:UnitarySystem,Design Size Maximum Supply Air Temperature,maximum_supply_air_temperature
AirLoopHVAC:UnitarySystem,Design Size Minimum Supply Air Temperature,minimum_supply_air_temperature
AirLoopHVAC:UnitarySystem,Design Size No Load Supply Air Flow Rate,no_load_supply_air_flow_rate
AirTerminal:DualDuct:ConstantVolume,Maximum Air Flow Rate,maximum_air_flow_rate
AirTerminal:DualDuct:VAV,Maximum Damper Air Flow Rate,maximum_damper_air_flow_rate
AirTerminal:DualDuct:VAV:OutdoorAir,Maximum Terminal Air Flow Rate,maximum_terminal_air_flow_rate
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Beam Length,beam_length
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Maximum Total Chilled Water Volumetric Flow Rate,maximum_total_chilled_water_volumetric_flow_rate
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Number of Beams,number_of_beams
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Supply Air Volumetric Flow Rate,supply_air_volumetric_flow_rate
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Design Chilled Water Volume Flow Rate,design_chilled_water_volume_flow_rate
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Design Hot Water Volume Flow Rate,design_hot_water_volume_flow_rate
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Design Primary Air Volume Flow Rate,design_primary_air_volume_flow_rate
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Zone Total Beam Length,zone_total_beam_length
AirTerminal:SingleDuct:ConstantVolume:FourPipeInduction,Maximum Cold Water Flow Rate,maximum_cold_water_flow_rate
AirTerminal:SingleDuct:ConstantVolume:FourPipeInduction,Maximum Hot Water Flow Rate,maximum_hot_water_flow_rate
AirTerminal:SingleDuct:ConstantVolume:FourPipeInduction,Maximum Total Air Flow Rate,maximum_total_air_flow_rate
AirTerminal:SingleDuct:ConstantVolume:NoReheat,Maximum Air Flow Rate,maximum_air_flow_rate
AirTerminal:SingleDuct:ConstantVolume:Reheat,Maximum Air Flow Rate,maximum_air_flow_rate
AirTerminal:SingleDuct:ConstantVolume:Reheat,Maximum Hot Water or Steam Flow Rate,maximum_hot_water_or_steam_flow_rate
AirTerminal:SingleDuct:ParallelPIU:Reheat,Maximum Primary Air Flow Rate,maximum_primary_air_flow_rate
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Maximum Primary Air Flow Rate,maximum_primary_air_flow_rate
AirTerminal:SingleDuct:ParallelPIU:Reheat,Maximum Secondary Air Flow Rate,maximum_secondary_air_flow_rate
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Maximum Secondary Air Flow Rate,maximum_secondary_air_flow_rate
AirTerminal:SingleDuct:ParallelPIU:Reheat,Minimum Primary Air Flow Fraction,minimum_primary_air_flow_fraction
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Minimum Primary Air Flow Fraction,minimum_primary_air_flow_fraction
AirTerminal:SingleDuct:ParallelPIU:Reheat,Fan On Flow Fraction,fan_on_flow_fraction
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Fan On Flow Fraction,fan_on_flow_fraction
AirTerminal:SingleDuct:ParallelPIU:Reheat,Maximum Hot Water or Steam Flow Rate,maximum_hot_water_or_steam_flow_rate
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Maximum Reheat Water Flow Rate,maximum_reheat_water_flow_rate
AirTerminal:SingleDuct:SeriesPIU:Reheat,Maximum Air Flow Rate,maximum_air_flow_rate
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Maximum Air Flow Rate,maximum_air_flow_rate
AirTerminal:SingleDuct:SeriesPIU:Reheat,Maximum Primary Air Flow Rate,maximum_primary_air_flow_rate
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Maximum Primary Air Flow Rate,maximum_primary_air_flow_rate
AirTerminal:SingleDuct:SeriesPIU:Reheat,Minimum Primary Air Flow Fraction,minimum_primary_air_flow_fraction
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Minimum Primary Air Flow Fraction,minimum_primary_air_flow_fraction
AirTerminal:SingleDuct:SeriesPIU:Reheat,Maximum Hot Water or Steam Flow Rate,maximum_hot_water_or_steam_flow_rate
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Maximum Reheat Water Flow Rate,maximum_reheat_water_flow_rate
AirTerminal:SingleDuct:Uncontrolled,Maximum Air Flow Rate,maximum_air_flow_rate
AirTerminal:SingleDuct:Uncontrolled,Design Size Maximum Air Flow Rate,maximum_air_flow_rate
AirTerminal:SingleDuct:VAV:HeatAndCool:NoReheat,Maximum Air Flow Rate,maximum_air_flow_rate
AirTerminal:SingleDuct:VAV:HeatAndCool:ReHeat,Maximum Air Flow Rate,maximum_air_flow_rate
AirTerminal:SingleDuct:VAV:HeatAndCool:ReHeat,Maximum Hot Water or Steam Flow Rate,maximum_hot_water_or_steam_flow_rate
AirTerminal:SingleDuct:VAV:NoReheat,Design Size Constant Minimum Air Flow Fraction,constant_minimum_air_flow_fraction
AirTerminal:SingleDuct:VAV:NoReheat,Design Size Minimum Air Flow Rate,minimum_air_flow_rate
AirTerminal:SingleDuct:VAV:NoReheat,Design Size Maximum Air Flow Rate,maximum_air_flow_rate
AirTerminal:SingleDuct:VAV:Reheat,Design Size Maximum Air Flow Rate,maximum_air_flow_rate
AirTerminal:SingleDuct:VAV:Reheat,Constant Minimum Air Flow Fraction,constant_minimum_air_flow_fraction
AirTerminal:SingleDuct:VAV:Reheat,Design Size Constant Minimum Air Flow Fraction,constant_minimum_air_flow_fraction
AirTerminal:SingleDuct:VAV:Reheat,Fixed Minimum Air Flow Rate,fixed_minimum_air_flow_rate
AirTerminal:SingleDuct:VAV:Reheat,Design Size Minimum Air Flow Rate,minimum_air_flow_rate
AirTerminal:SingleDuct:VAV:Reheat,Maximum Hot Water or Steam Flow Rate,maximum_hot_water_or_steam_flow_rate
AirTerminal:SingleDuct:VAV:Reheat,Design Size Maximum Reheat Water Flow Rate,maximum_reheat_water_flow_rate
AirTerminal:SingleDuct:VAV:Reheat,Maximum Flow per Zone Floor Area During Reheat,maximum_flow_per_zone_floor_area_during_reheat
AirTerminal:SingleDuct:VAV:Reheat,Design Size Maximum Flow per Zone Floor Area during Reheat,maximum_flow_per_zone_floor_area_during_reheat
AirTerminal:SingleDuct:VAV:Reheat,Maximum Flow Fraction During Reheat,maximum_flow_fraction_during_reheat
AirTerminal:SingleDuct:VAV:Reheat,Design Size Maximum Flow Fraction during Reheat,maximum_flow_fraction_during_reheat
AirTerminal:SingleDuct:VAV:Reheat:VariableSpeedFan,Maximum Cooling Air Flow Rate,maximum_cooling_air_flow_rate
AirTerminal:SingleDuct:VAV:Reheat:VariableSpeedFan,Maximum Heating Air Flow Rate,maximum_heating_air_flow_rate
AirTerminal:SingleDuct:VAV:Reheat:VariableSpeedFan,Maximum Hot Water or Steam Flow Rate,maximum_hot_water_or_steam_flow_rate
Boiler:HotWater,Nominal Capacity,nominal_capacity
Boiler:HotWater,Design Size Nominal Capacity,nominal_capacity
Boiler:HotWater,Design Water Flow Rate,design_water_flow_rate
Boiler:HotWater,Design Size Design Water Flow Rate,design_water_flow_rate
Boiler:Steam,Nominal Capacity,nominal_capacity
Chiller:Absorption,Design Chilled Water Flow Rate,design_chilled_water_flow_rate
Chiller:Absorption,Design Condenser Water Flow Rate,design_condenser_water_flow_rate
Chiller:Absorption,Design Generator Fluid Flow Rate,design_generator_fluid_flow_rate
Chiller:Absorption,Nominal Capacity,nominal_capacity
Chiller:Absorption,Nominal Pumping Power,nominal_pumping_power
Chiller:Absorption:Indirect,Design Chilled Water Flow Rate,design_chilled_water_flow_rate
Chiller:Absorption:Indirect,Design Condenser Water Flow Rate,design_condenser_water_flow_rate
Chiller:Absorption:Indirect,Design Generator Fluid Flow Rate,design_generator_fluid_flow_rate
Chiller:Absorption:Indirect,Nominal Capacity,nominal_capacity
Chiller:Absorption:Indirect,Nominal Pumping Power,nominal_pumping_power
Chiller:CombustionTurbine,Design Chilled Water Flow Rate,design_chilled_water_flow_rate
Chiller:CombustionTurbine,Design Condenser Water Flow Rate,design_condenser_water_flow_rate
Chiller:CombustionTurbine,Design Heat Recovery Water Flow Rate,design_heat_recovery_water_flow_rate
Chiller:CombustionTurbine,Gas Turbine Engine Capacity,gas_turbine_engine_capacity
Chiller:CombustionTurbine,Nominal Capacity,nominal_capacity
Chiller:ConstantCOP,Design Chilled Water Flow Rate,design_chilled_water_flow_rate
Chiller:ConstantCOP,Design Condenser Water Flow Rate,design_condenser_water_flow_rate
Chiller:ConstantCOP,Nominal Capacity,nominal_capacity
Chiller:Electric,Design Chilled Water Flow Rate,design_chilled_water_flow_rate
Chiller:Electric,Design Condenser Fluid Flow Rate,design_condenser_fluid_flow_rate
Chiller:Electric,Design Heat Recovery Water Flow Rate,design_heat_recovery_water_flow_rate
Chiller:Electric,Nominal Capacity,nominal_capacity
Chiller:Electric:EIR,Design Size Reference Capacity,reference_capacity
Chiller:Electric:EIR,Design Size Reference Chilled Water Flow Rate,reference_chilled_water_flow_rate
Chiller:Electric:EIR,Design Size Reference Condenser Fluid Flow Rate,reference_condenser_fluid_flow_rate
Chiller:Electric:EIR,Design Heat Recovery Water Flow Rate,design_heat_recovery_water_flow_rate
Chiller:Electric:ReformulatedEIR,Design Heat Recovery Water Flow Rate,design_heat_recovery_water_flow_rate
Chiller:Electric:ReformulatedEIR,Design Size Reference Capacity,reference_capacity
Chiller:Electric:ReformulatedEIR,Design Size Reference Chilled Water Flow Rate,reference_chilled_water_flow_rate
Chiller:Electric:ReformulatedEIR,Design Size Reference Condenser Water Flow Rate,reference_condenser_water_flow_rate
Chiller:EngineDriven,Design Chilled Water Flow Rate,design_chilled_water_flow_rate
Chiller:EngineDriven,Design Condenser Water Flow Rate,design_condenser_water_flow_rate
Chiller:EngineDriven,Design Heat Recovery Water Flow Rate,design_heat_recovery_water_flow_rate
Chiller:EngineDriven,Nominal Capacity,nominal_capacity
ChillerHeater:Absorption:DirectFired,Design Chilled Water Flow Rate,design_chilled_water_flow_rate
ChillerHeater:Absorption:DirectFired,Design Condenser Water Flow Rate,design_condenser_water_flow_rate
ChillerHeater:Absorption:DirectFired,Design Hot Water Flow Rate,design_hot_water_flow_rate
ChillerHeater:Absorption:DirectFired,Nominal Cooling Capacity,nominal_cooling_capacity
ChillerHeater:Absorption:DoubleEffect,Design Chilled Water Flow Rate,design_chilled_water_flow_rate
ChillerHeater:Absorption:DoubleEffect,Design Condenser Water Flow Rate,design_condenser_water_flow_rate
ChillerHeater:Absorption:DoubleEffect,Design Hot Water Flow Rate,design_hot_water_flow_rate
ChillerHeater:Absorption:DoubleEffect,Nominal Cooling Capacity,nominal_cooling_capacity
ChillerHeaterPerformance:Electric:EIR,Design Chilled Water Flow Rate,design_chilled_water_flow_rate
ChillerHeaterPerformance:Electric:EIR,Design Condenser Water Flow Rate,design_condenser_water_flow_rate
ChillerHeaterPerformance:Electric:EIR,Reference Cooling Mode Evaporator Capacity,reference_cooling_mode_evaporator_capacity
Coil:Cooling:DX:MultiSpeed,Speed 1 Evaporative Condenser Air Flow Rate,speed_1_evaporative_condenser_air_flow_rate
Coil:Cooling:DX:MultiSpeed,Speed 1 Design Size Rated Sensible Heat Ratio,speed_1_rated_sensible_heat_ratio
Coil:Cooling:DX:MultiSpeed,Design Size Speed 1 Gross Rated Total Cooling Capacity,speed_1_gross_rated_total_cooling_capacity
Coil:Cooling:DX:MultiSpeed,Design Size Speed 1 Rated Air Flow Rate,speed_1_rated_air_flow_rate
Coil:Cooling:DX:MultiSpeed,Speed 1 Rated Evaporative Condenser Pump Power Consumption,speed_1_rated_evaporative_condenser_pump_power_consumption
Coil:Cooling:DX:MultiSpeed,Speed 2 Evaporative Condenser Air Flow Rate,speed_2_evaporative_condenser_air_flow_rate
Coil:Cooling:DX:MultiSpeed,Speed 2 Design Size Rated Sensible Heat Ratio,speed_2_rated_sensible_heat_ratio
Coil:Cooling:DX:MultiSpeed,Design Size Speed 2 Gross Rated Total Cooling Capacity,speed_2_gross_rated_total_cooling_capacity
Coil:Cooling:DX:MultiSpeed,Design Size Speed 2 Rated Air Flow Rate,speed_2_rated_air_flow_rate
Coil:Cooling:DX:MultiSpeed,Speed 2 Rated Evaporative Condenser Pump Power Consumption,speed_2_rated_evaporative_condenser_pump_power_consumption
Coil:Cooling:DX:MultiSpeed,Speed 3 Evaporative Condenser Air Flow Rate,speed_3_evaporative_condenser_air_flow_rate
Coil:Cooling:DX:MultiSpeed,Speed 3 Design Size Rated Sensible Heat Ratio,speed_3_rated_sensible_heat_ratio
Coil:Cooling:DX:MultiSpeed,Speed 3 Design Size Rated Total Cooling Capacity,speed_3_rated_total_cooling_capacity
Coil:Cooling:DX:MultiSpeed,Design Size Speed 3 Rated Air Flow Rate,speed_3_rated_air_flow_rate
Coil:Cooling:DX:MultiSpeed,Speed 3 Rated Evaporative Condenser Pump Power Consumption,speed_3_rated_evaporative_condenser_pump_power_consumption
Coil:Cooling:DX:MultiSpeed,Speed 4 Evaporative Condenser Air Flow Rate,speed_4_evaporative_condenser_air_flow_rate
Coil:Cooling:DX:MultiSpeed,Speed 4 Design Size Rated Sensible Heat Ratio,speed_4_rated_sensible_heat_ratio
Coil:Cooling:DX:MultiSpeed,Speed 4 Design Size Rated Total Cooling Capacity,speed_4_rated_total_cooling_capacity
Coil:Cooling:DX:MultiSpeed,Design Size Speed 4 Rated Air Flow Rate,speed_4_rated_air_flow_rate
Coil:Cooling:DX:MultiSpeed,Speed 4 Rated Evaporative Condenser Pump Power Consumption,speed_4_rated_evaporative_condenser_pump_power_consumption
Coil:Cooling:DX:SingleSpeed,Gross Rated Total Cooling Capacity,gross_rated_total_cooling_capacity
Coil:Cooling:DX:SingleSpeed,Design Size Gross Rated Total Cooling Capacity,gross_rated_total_cooling_capacity
Coil:Cooling:DX:SingleSpeed,Gross Rated Sensible Heat Ratio,gross_rated_sensible_heat_ratio
Coil:Cooling:DX:SingleSpeed,Design Size Gross Rated Sensible Heat Ratio,gross_rated_sensible_heat_ratio
Coil:Cooling:DX:SingleSpeed,Rated Air Flow Rate,rated_air_flow_rate
Coil:Cooling:DX:SingleSpeed,Design Size Rated Air Flow Rate,rated_air_flow_rate
Coil:Cooling:DX:SingleSpeed,Evaporative Condenser Air Flow Rate,evaporative_condenser_air_flow_rate
Coil:Cooling:DX:SingleSpeed,Evaporative Condenser Pump Rated Power Consumption,evaporative_condenser_pump_rated_power_consumption
Coil:Cooling:DX:SingleSpeed:ThermalStorage,Cooling Only Mode Rated Total Evaporator Cooling Capacity,cooling_only_mode_rated_total_evaporator_cooling_capacity
Coil:Cooling:DX:SingleSpeed:ThermalStorage,Evaporative Condenser Pump Rated Power Consumption,evaporative_condenser_pump_rated_power_consumption
Coil:Cooling:DX:SingleSpeed:ThermalStorage,Rated Evaporator Air Flow Rate,rated_evaporator_air_flow_rate
Coil:Cooling:DX:TwoSpeed,High Speed Gross Rated Total Cooling Capacity,high_speed_gross_rated_total_cooling_capacity
Coil:Cooling:DX:TwoSpeed,Design Size High Speed Gross Rated Total Cooling Capacity,high_speed_gross_rated_total_cooling_capacity
Coil:Cooling:DX:TwoSpeed,High Speed Rated Sensible Heat Ratio,high_speed_rated_sensible_heat_ratio
